Reference, Value, Footprint, Datasheet, LCSC, Vendor, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Digikey, MPN, MFGPN
"R20","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"R22","300k/1%","tom-passives:R_0402_1005Metric","","C25774","","","","","","","","","",""
"L4","2.2uH/4.5A","tom-passives:L_MWSA0518S","","C169184","","","","","","","","","MWSA0402-2R2MT",""
"C8","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"R19","200k/1%","tom-passives:R_0402_1005Metric","","C25764","","","","","","","","","",""
"R18","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"C12","47uF/10V/X7R","tom-passives:C_1206_3216Metric","","C96123","","","","","","","","","",""
"L3","2.2uH/4.5A","tom-passives:L_MWSA0518S","","C169184","","","","","","","","","MWSA0402-2R2MT",""
"R33","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"U6","TLV62569DBVR","artix7-pcie-v2:SOT95P280X145-5N","","C141836","","","","","","","","","",""
"C42","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"C45","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C43","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C44","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"C46","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C50","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C51","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C52","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C54","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C56","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C49","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C53","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C55","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C58","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C59","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C71","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C72","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C73","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C75","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C76","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C77","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C69","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C70","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C74","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"J1","Conn_02x20_Odd_Even","artix7-pcie-v2:Socket_Strip_Angled_2x20","~","DNP","","","","","","","","","",""
"TP1","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP2","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP4","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP3","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"C85","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"C87","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C89","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C91","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C93","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C95","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C97","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C86","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"C88","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C90","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C92","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C94","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C96","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C98","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C23","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"C18","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"R8","1k/1%","tom-passives:R_0402_1005Metric","","C11702","","","","","","","","","",""
"J2","Conn_02x20_Odd_Even","artix7-pcie-v2:Socket_Strip_Angled_2x20","~","DNP","","","","","","","","","",""
"TP7","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"C60","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"C61","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C62","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C63","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C64","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C65","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C66","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C68","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"C67","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"TP8","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
